,episode,steps,meanepreward,meaneplen,#parallel_run
0,0,5200,-1300.5991796389303,200.0,0
1,1,10400,-1306.5176408467887,200.0,0
2,2,15600,-1275.18449658306,200.0,0
3,3,20800,-1330.6315417278224,200.0,0
4,4,26000,-1354.645087534515,200.0,0
5,5,31200,-1256.0643837695325,200.0,0
6,6,36400,-1294.9929300917793,200.0,0
7,7,41600,-1192.6061795982673,200.0,0
8,8,46800,-1192.4325780953222,200.0,0
9,9,52000,-1319.6265212865835,200.0,0
10,10,57200,-1225.5195290337554,200.0,0
11,11,62400,-1193.558440237539,200.0,0
12,12,67600,-1442.4786050131045,200.0,0
13,13,72800,-1279.905964658446,200.0,0
14,14,78000,-1355.6629360238355,200.0,0
15,15,83200,-1369.593930239046,200.0,0
16,16,88400,-1264.1922802990741,200.0,0
17,17,93600,-1365.935099913921,200.0,0
18,18,98800,-1235.0281713094332,200.0,0
19,19,104000,-1189.4045467285189,200.0,0
20,20,109200,-1092.520536803505,200.0,0
21,21,114400,-1094.461362351064,200.0,0
22,22,119600,-1171.0492119164292,200.0,0
23,23,124800,-1196.1814810306573,200.0,0
24,24,130000,-1048.1633456614402,200.0,0
25,25,135200,-1033.3202880818842,200.0,0
26,26,140400,-1083.918236001008,200.0,0
27,27,145600,-1048.667793544765,200.0,0
28,28,150800,-1008.0914938490913,200.0,0
29,29,156000,-1017.4502797988591,200.0,0
30,30,161200,-1028.5254029066243,200.0,0
31,31,166400,-1073.501581851951,200.0,0
32,32,171600,-1010.8862731420068,200.0,0
33,33,176800,-992.0305075010855,200.0,0
34,34,182000,-1040.2006354188827,200.0,0
35,35,187200,-943.5025532694831,200.0,0
36,36,192400,-1061.1211471615286,200.0,0
37,37,197600,-1031.8047100521526,200.0,0
38,38,202800,-1002.7558723461162,200.0,0
39,39,208000,-1005.4989585692903,200.0,0
40,40,213200,-982.8306726206774,200.0,0
41,41,218400,-933.9072106071703,200.0,0
42,42,223600,-978.4918929412377,200.0,0
43,43,228800,-962.7063418356073,200.0,0
44,44,234000,-967.8699231226922,200.0,0
45,45,239200,-1048.0090375038485,200.0,0
46,46,244400,-982.8863676512899,200.0,0
47,47,249600,-1029.3059487305632,200.0,0
48,48,254800,-1009.756323189262,200.0,0
49,49,260000,-1084.565391928431,200.0,0
50,50,265200,-1029.7156046076038,200.0,0
51,51,270400,-976.0221926695606,200.0,0
52,52,275600,-1009.7481892060775,200.0,0
53,53,280800,-958.3221414289638,200.0,0
54,54,286000,-970.8565916288261,200.0,0
55,55,291200,-1070.159920119907,200.0,0
56,56,296400,-1060.7537344289135,200.0,0
57,57,301600,-1067.808252809409,200.0,0
58,58,306800,-1042.5199497388744,200.0,0
59,59,312000,-890.3886995310849,200.0,0
60,60,317200,-1097.0820947601287,200.0,0
61,61,322400,-979.7002044312856,200.0,0
62,62,327600,-1103.4018201238582,200.0,0
63,63,332800,-1023.1149146288561,200.0,0
64,64,338000,-939.9862039500505,200.0,0
65,65,343200,-1005.0942875170539,200.0,0
66,66,348400,-1011.5345703471872,200.0,0
67,67,353600,-974.0445299343763,200.0,0
68,68,358800,-1068.1526803343113,200.0,0
69,69,364000,-1043.3820841426127,200.0,0
70,70,369200,-1093.9854122521542,200.0,0
71,71,374400,-1025.2816681572758,200.0,0
72,72,379600,-1058.6794629952735,200.0,0
73,73,384800,-1020.8841800318628,200.0,0
74,74,390000,-935.6032055664936,200.0,0
75,75,395200,-984.7596460251477,200.0,0
76,76,400400,-1050.905875458907,200.0,0
77,77,405600,-967.0715695115703,200.0,0
78,78,410800,-990.1663253147652,200.0,0
79,79,416000,-1142.2988629738295,200.0,0
80,80,421200,-998.1996444465833,200.0,0
81,81,426400,-1045.1393735573952,200.0,0
82,82,431600,-1014.0253094767802,200.0,0
83,83,436800,-982.3823653836423,200.0,0
84,84,442000,-1125.0867449393393,200.0,0
85,85,447200,-985.0502154996854,200.0,0
86,86,452400,-1024.5938137542896,200.0,0
87,87,457600,-947.576490905072,200.0,0
88,88,462800,-967.2838265369962,200.0,0
89,89,468000,-962.4396848961819,200.0,0
90,90,473200,-925.8707953134217,200.0,0
91,91,478400,-935.696965604616,200.0,0
92,92,483600,-1077.0668242986392,200.0,0
93,93,488800,-942.2359652994757,200.0,0
94,94,494000,-1016.8709025980745,200.0,0
95,95,499200,-1051.529936904623,200.0,0
96,96,504400,-966.7426306073664,200.0,0
97,97,509600,-897.1215788048625,200.0,0
98,98,514800,-1103.022207442134,200.0,0
99,99,520000,-1048.6314825961106,200.0,0
100,100,525200,-1053.1118079669918,200.0,0
101,101,530400,-954.6865622693875,200.0,0
102,102,535600,-972.4046448525162,200.0,0
103,103,540800,-943.7532902090114,200.0,0
104,104,546000,-1042.9962413098717,200.0,0
105,105,551200,-1003.0422033641452,200.0,0
106,106,556400,-960.6835637288834,200.0,0
107,107,561600,-980.2383178644187,200.0,0
108,108,566800,-960.00155575775,200.0,0
109,109,572000,-943.2537492109708,200.0,0
110,110,577200,-1109.9129267965727,200.0,0
111,111,582400,-1045.4487081043565,200.0,0
112,112,587600,-1012.2058232308191,200.0,0
113,113,592800,-950.5749238572112,200.0,0
114,114,598000,-1138.2991887961812,200.0,0
115,115,603200,-894.0457870023185,200.0,0
116,116,608400,-1035.6031186312662,200.0,0
117,117,613600,-938.7733688810147,200.0,0
118,118,618800,-926.9092263508223,200.0,0
119,119,624000,-1074.5637953554385,200.0,0
120,120,629200,-940.1921217838789,200.0,0
121,121,634400,-1005.7931219597392,200.0,0
122,122,639600,-897.6858519475352,200.0,0
123,123,644800,-937.3554174062713,200.0,0
124,124,650000,-931.0802492913092,200.0,0
125,125,655200,-1031.6784048414127,200.0,0
126,126,660400,-1000.0553501205449,200.0,0
127,127,665600,-902.6857412512368,200.0,0
128,128,670800,-912.5437980468935,200.0,0
129,129,676000,-867.8331883664547,200.0,0
130,130,681200,-955.3232742137342,200.0,0
131,131,686400,-866.0712256587111,200.0,0
132,132,691600,-924.9254362727678,200.0,0
133,133,696800,-998.9192455465638,200.0,0
134,134,702000,-860.8165365185653,200.0,0
135,135,707200,-858.2196769282477,200.0,0
136,136,712400,-1015.656074496724,200.0,0
137,137,717600,-992.2951390032225,200.0,0
138,138,722800,-935.4265002051368,200.0,0
139,139,728000,-975.9289547406897,200.0,0
140,140,733200,-884.8585454634515,200.0,0
141,141,738400,-943.9329132183856,200.0,0
142,142,743600,-893.9038251820537,200.0,0
143,143,748800,-982.4216518946959,200.0,0
144,144,754000,-974.5896732750087,200.0,0
145,145,759200,-924.7422830665344,200.0,0
146,146,764400,-976.7373953230176,200.0,0
147,147,769600,-917.2015999796355,200.0,0
148,148,774800,-887.165059352865,200.0,0
149,149,780000,-929.6325486737001,200.0,0
150,150,785200,-896.489361139123,200.0,0
151,151,790400,-911.9718857558526,200.0,0
152,152,795600,-850.8952828179712,200.0,0
153,153,800800,-944.2454919068064,200.0,0
154,154,806000,-957.9516529068277,200.0,0
155,155,811200,-943.595612611356,200.0,0
156,156,816400,-878.0980255501623,200.0,0
157,157,821600,-921.4074091474024,200.0,0
158,158,826800,-1007.6637804588457,200.0,0
159,159,832000,-944.2754898693191,200.0,0
160,160,837200,-1000.2907207267409,200.0,0
161,161,842400,-1016.5108097146529,200.0,0
162,162,847600,-1003.7405370052637,200.0,0
163,163,852800,-1003.6438903710017,200.0,0
164,164,858000,-1088.924448723475,200.0,0
165,165,863200,-981.4026114857244,200.0,0
166,166,868400,-943.4746102261166,200.0,0
167,167,873600,-958.3336626392716,200.0,0
168,168,878800,-933.8582403001832,200.0,0
169,169,884000,-876.5002534262688,200.0,0
170,170,889200,-896.7588327206256,200.0,0
171,171,894400,-935.8401098860156,200.0,0
172,172,899600,-1009.266790744504,200.0,0
173,173,904800,-922.9009514595691,200.0,0
174,174,910000,-946.9164362811304,200.0,0
175,175,915200,-907.4084653293335,200.0,0
176,176,920400,-899.5845186136523,200.0,0
177,177,925600,-863.9663542097258,200.0,0
178,178,930800,-976.4851191663165,200.0,0
179,179,936000,-854.232711192517,200.0,0
180,180,941200,-916.6840326705707,200.0,0
181,181,946400,-972.0790258790493,200.0,0
182,182,951600,-899.826350854723,200.0,0
183,183,956800,-967.4416064742704,200.0,0
184,184,962000,-987.1452177373402,200.0,0
185,185,967200,-903.6381853092723,200.0,0
186,186,972400,-872.2711772425918,200.0,0
187,187,977600,-1025.0992311409618,200.0,0
188,188,982800,-972.919511046516,200.0,0
189,189,988000,-903.7141963976409,200.0,0
190,190,993200,-1016.3056426064591,200.0,0
191,191,998400,-928.9997733646522,200.0,0
192,192,1003600,-927.9322870996101,200.0,0
193,193,1008800,-1034.8488516426935,200.0,0
194,194,1014000,-1027.976179049036,200.0,0
195,195,1019200,-940.6987051098082,200.0,0
196,196,1024400,-941.7197824852121,200.0,0
197,197,1029600,-921.9816725850679,200.0,0
198,198,1034800,-931.2892501839802,200.0,0
199,199,1040000,-915.1350549104825,200.0,0
200,200,1045200,-913.5160149918403,200.0,0
201,201,1050400,-987.9794397101863,200.0,0
202,202,1055600,-916.458188215543,200.0,0
203,203,1060800,-1035.5958818801228,200.0,0
204,204,1066000,-896.406478416279,200.0,0
205,205,1071200,-954.139646602899,200.0,0
206,206,1076400,-861.1820753531209,200.0,0
207,207,1081600,-971.0785831699685,200.0,0
208,208,1086800,-946.7436050693005,200.0,0
209,209,1092000,-922.4290826846126,200.0,0
210,210,1097200,-1016.3099647012997,200.0,0
211,211,1102400,-867.2027272438827,200.0,0
212,212,1107600,-885.0830788586619,200.0,0
213,213,1112800,-887.7450186516534,200.0,0
214,214,1118000,-921.0459029919764,200.0,0
215,215,1123200,-993.5092049010364,200.0,0
216,216,1128400,-919.1053085467083,200.0,0
217,217,1133600,-869.289352812514,200.0,0
218,218,1138800,-876.923411832231,200.0,0
219,219,1144000,-843.8672494672736,200.0,0
220,220,1149200,-910.3444054396558,200.0,0
221,221,1154400,-864.2922760067496,200.0,0
222,222,1159600,-867.8075785162921,200.0,0
223,223,1164800,-849.2634783394568,200.0,0
224,224,1170000,-971.350905854782,200.0,0
225,225,1175200,-946.5999924213521,200.0,0
226,226,1180400,-868.4809759060342,200.0,0
227,227,1185600,-969.371377188135,200.0,0
228,228,1190800,-929.793036741575,200.0,0
229,229,1196000,-1001.967630194628,200.0,0
230,230,1201200,-929.24397853198,200.0,0
231,231,1206400,-875.8707985289681,200.0,0
232,232,1211600,-967.1610458711427,200.0,0
